naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
Blanx Pasta zubna Black volcano 75ml	20725132	Blanx	0.075	KOM	       4,19		1	L	55,87			MPC 2.5.2025=2,45€	8017331089675	KOZMETIKA
Frondi Vafel s punjenjem od kokosa250g	20725152	Frondi	0.250	KOM	       2,59		1	KG	10,36			MPC 2.5.2025=2,59€	3850102010066	HRANA
Bev.Losion za tijelo 500ml	20725201	bevola	0.500	KOM	       2,29		1	L	4,58			MPC 2.5.2025=1,99€	4003583217601	KOZMETIKA
Aleva Juha goveđa s tjesteninom 37g	20725271	Aleva	0.037	KOM	       0,39	A	1	KG	1,054	       0,39	0,55	MPC 2.5.2025=0,55€	8600947036814	HRANA
Bev.Mlijeko za tijelo 500ml	20725284	bevola	0.500	KOM	       1,99		1	L	3,98			MPC 2.5.2025=1,99€	4003583217625	KOZMETIKA
Bev.Losion za tijelo Q10 400ml	20725295	bevola	0.400	KOM	       2,39		1	L	5,975			MPC 2.5.2025=2,39€	4003583217649	KOZMETIKA
Bev.Losion za tijelo Urea 400ml	20725296	bevola	0.400	KOM	       2,39		1	L	5,975			MPC 2.5.2025=2,39€	4003583217663	KOZMETIKA
Vindija BoviBlue Sir meki 45%mm 150g	20725300	Vindija	0.150	KOM	       2,95		1	KG	19,67			MPC 2.5.2025=3,29€	3850108052831	HRANA
Dukat Mlijeko traj.Junior2,8% 0,2L TETRA	20725301	Dukat	0.206	KOM	       0,69		1	L	3,45			MPC 2.5.2025=0,69€	3850354018100	HRANA
Vilikis Jogurt grčki tip 900 g	20725302	Vilikis	0.900	KOM	       3,99		1	KG	4,433			MPC 2.5.2025=3,79€	3850108039184	HRANA
Party Liker od jaja 15%alkohola 0,5L	20725304	Party	0.500	KOM	       8,78		1	L	17,36			MPC 2.5.2025=8,78€	8586019223873	PIĆE
Party Liker od jaja s čokol.15%alk.0,5L	20725305	Party	0.500	KOM	       7,82		1	L	15,44			MPC 2.5.2025=7,82€	8586019223880	PIĆE
Vindi Nektar od jagode 1L TETRA	20725416	Vindi	1	KOM	       2,79		1.000					MPC 2.5.2025=2,79€	3850108078695	PIĆE
Marodi Tjestenina Fuži 400g	20725784	Marodi	0.400	KOM	       2,99		1	KG	7,475			MPC 2.5.2025=2,99€	3859888666405	HRANA
`z bregov Maslac 82%m.m. 15 g	20725824	`z bregov	0.015	KOM	       0,39		1.000					MPC 2.5.2025=0,39€	3850108060188	HRANA
Tom Tailor Parfem.voda Time to live!30ml	20725865	Tom Tailor	0.164	KOM	      20,99		1.000					MPC 2.5.2025=20,99€	4011700603244	KOZMETIKA
Vita Tjestenina špagete 500g_OC	20725947	Vita	0.500	KOM	       0,99		1	KG	1,98			MPC 2.5.2025=0,99€	3858889323782	HRANA
Vita Tjestenina špagete 1000 g	20725952	Vita	1	KOM	       1,39		1.000					MPC 2.5.2025=1,49€	3858889323775	HRANA
Pelinova Pelinkovac Liker biljni35%0,7L	20726638	Pelinova	0.700	KOM	      15,02		1	L	21,31			MPC 2.5.2025=15,02€	8594005025561	PIĆE
Somersby Piće bezal.gaz.jag.lim0,33L LIM	20726657	Somersby	0.330	KOM	       1,35		1	L	3,788			MPC 2.5.2025=1,25€	8600331002685	PIĆE
Vita Tjestenina pužići 1000 g	20726851	Vita	1	KOM	       1,39		1.000					MPC 2.5.2025=1,49€	3858889329142	HRANA
Dr.Oetker Puding čokolada Galetta 100g	20726879	Dr.Oetker	0.100	KOM	       1,29		1	KG	12,9			MPC 2.5.2025=1,09€	5997381372732	HRANA
Dr.Oetker Puding vanilija Galetta 85g	20726880	Dr.Oetker	0.085	KOM	       1,09		1	KG	12,82			MPC 2.5.2025=1,09€	5997381372725	HRANA
Vita Tjestenina makaron 1000 g	20726898	Vita	1	KOM	       1,39		1.000					MPC 2.5.2025=1,49€	3858889323768	HRANA
Vita Tjestenina makaron 500 g	20726899	Vita	0.500	KOM	       0,99		1	KG	1,98			MPC 2.5.2025=0,99€	3858889323737	HRANA
Vita Tjestenina vijak 500 g	20726901	Vita	0.500	KOM	       0,99		1	KG	1,98			MPC 2.5.2025=0,99€	3858889323805	HRANA
Vita Tjestenina vijak 1000g	20726902	Vita	1	KOM	       1,39		1.000					MPC 2.5.2025=1,49€	3858889323799	HRANA
Vita Tjestenina pužići 500g	20726905	Vita	0.500	KOM	       0,99		1	KG	1,98			MPC 2.5.2025=0,99€	3858889323744	HRANA
Solat Sol tabletir.za peril.posu.3u1 2kg	20727062	Solat	2	KOM	       2,49		1	KG	1,245			MPC 2.5.2025=2,49€	3870009000113	SREDSTVA ZA ČIŠĆENJE
Maraska Piće Joy jabuka 2LTETRA	20727215	Maraska	2.040	KOM	       1,59		1	L	0,795			MPC 2.5.2025=1,59€	3850158006105	PIĆE
Maraska Piće Joy naranča 2LTETRA	20727216	Maraska	2.040	KOM	       1,59		1	L	0,795			MPC 2.5.2025=1,59€	3850158006129	PIĆE
Prekrašni Štrudlice jabuka 200g	20727227	Prekrašni	0.200	KOM	       1,99		1	KG	9,95			MPC 2.5.2025=1,85€	3850102009985	HRANA
Prekrašni Štrudlice miješano voće 200g	20727228	Prekrašni	0.200	KOM	       1,99		1	KG	9,95			MPC 2.5.2025=1,85€	3850102009992	HRANA
Prekrašni Štrudlice smokva 200g	20727229	Prekrašni	0.200	KOM	       1,99		1	KG	9,95			MPC 2.5.2025=1,85€	3850102012794	HRANA
Vittel Voda mineral.negazirana 1,5L PET	20727236	Vittel	1.500	KOM	       1,62		1	L	1,013			MPC 2.5.2025=1,62€	3048431002658	PIĆE
B_Orbit Žvakaće gume blueberry bočica64g	20727545	Orbit	0.064	KOM	       3,69		1	KG	57,66			MPC 2.5.2025=3,69€	4009900538008	HRANA
B_Airwaves Žvakaće gume blackcurr.boč64g	20727546	Airwaves	0.064	KOM	       3,69		1	KG	57,66			MPC 2.5.2025=3,69€	4009900550499	HRANA
B_Orbit Žvakaće gume sweetmint bočica64g	20727547	Orbit	0.064	KOM	       3,69		1	KG	57,66			MPC 2.5.2025=3,69€	4009900549981	HRANA
B_Airwaves Žvakaće gume blackmint boč64g	20727548	Airwaves	0.064	KOM	       3,69		1	KG	57,66			MPC 2.5.2025=3,69€	4009900550178	HRANA
Pivac Svinjska mast	20727561	Pivac	1	KOM	       1,59	A	1.000			       1,59	1,59	MPC 2.5.2025=1,59€	3859892881276	HRANA
Dukat Mlijeko čokoladno junior0,2L TETRA	20727601	Dukat	0.206	KOM	       0,87	A	1	L	4,35	       0,87	1,09	MPC 2.5.2025=1,09€	3850354018124	HRANA
To Nektar jabuka naranča 2L TETRA	20727603	To	2.050	KOM	       2,59		1	L	1,295			MPC 2.5.2025=2,59€	3858890977998	PIĆE
Leerdammer Sir kravlji 45% Original 140g	20727634	Leerdammer	0.140	KOM	       3,49		1	KG	24,93			MPC 2.5.2025=3,49€	8721800401294	HRANA
B_Orbit Žvakaće gume white fresh.boči64g	20727639	Orbit	0.064	KOM	       3,69		1	KG	57,66			MPC 2.5.2025=3,69€	4009900538237	HRANA
Brzo&Fino Vrhnje kiselo bakino25%mm 300g	20727668	Brzo&Fino	0.300	KOM	       1,89		1	KG	 6,3			MPC 2.5.2025=1,89€	3850354018087	HRANA
Fruc Piće beza.nega.Bubble gum0,5L PET	20727845	Fruc	0.519	KOM	       1,32		1	L	2,44			MPC 2.5.2025=1,32€	3838945042796	PIĆE
Fructal Super.Sok voćni jabuka 0,33L PET	20727846	Fructal	0.340	KOM	       1,45		1	L	4,091			MPC 2.5.2025=1,45€	3838945042642	PIĆE
Fructal Sok voć.jabuka superior0,75L PET	20727847	Fructal	0.780	KOM	       2,15		1	L	2,733			MPC 2.5.2025=2,15€	3838945042673	PIĆE
Fructal Piće bezal.neg.malina0,4L PET	20727849	Fructal	0.400	KOM	       1,32		1	L	3,05			MPC 2.5.2025=1,32€	3838945042369	PIĆE
Fanta Piće bezal.nara. 5+1x0,33L 1gratis	20727865	Fanta	2.050	KOM	       5,49		1	L	2,47			MPC 2.5.2025=5,43€	5000112669046	PIĆE
Uff Vino bijelo Rizling 250 ml LIM	20727866	Uff	0.250	KOM	       1,59		1	L	5,96			MPC 2.5.2025=2,02€	3858892650080	HRANA
Uff Vino crno Vranac 250 ml LIM	20727867	Uff	0.250	KOM	       1,59		1	L	5,96			MPC 2.5.2025=2,02€	3858892650097	PIĆE
Uff Piće bezalkoh.s kolagenom250ml LIM	20727876	Uff	0.250	KOM	       1,59		1	L	5,96			MPC 2.5.2025=2,02€	3858892650196	PIĆE
Uff Piće bezalkoh.s proteinima250ml LIM	20727877	Uff	0.250	KOM	       1,59		1	L	5,96			MPC 2.5.2025=2,02€	3858892650189	PIĆE
Uff Voda s kisikom 250 ml LIM	20727878	Uff	0.250	KOM	       1,59		1	L	5,96			MPC 2.5.2025=2,02€	3858892650011	PIĆE
To Nektar jabuka 2L TETRA	20727947	To	2.050	KOM	       2,59		1	L	1,295			MPC 2.5.2025=2,59€	3858890973839	PIĆE
To Nektar multivitamin 2L TETRA	20727949	To	2.050	KOM	       2,59		1	L	1,295			MPC 2.5.2025=2,59€	3858890973808	PIĆE
Biobaza Losion za tijelo Flower rom250ml	20728434	Biobaza	0.262	KOM	       4,49		1	L	17,96			MPC 2.5.2025=3,95€	3856020908386	KOZMETIKA
Biobaza Losion za tijelo Silky comf250ml	20728436	Biobaza	0.262	KOM	       3,99		1	L	15,96			MPC 2.5.2025=3,95€	3856020905675	KOZMETIKA
Biobaza Deo roll on Botanic garden 50 ml	20728437	Biobaza	0.055	KOM	       4,05		1	L	  81			MPC 2.5.2025=3,85€	3856020915056	KOZMETIKA
Biobaza Deo roll on Flower romance 50 ml	20728438	Biobaza	0.055	KOM	       4,05		1	L	  81			MPC 2.5.2025=3,85€	3856020910785	KOZMETIKA
Biobaza Deo roll on Purple freshness50ml	20728439	Biobaza	0.055	KOM	       4,05		1	L	  81			MPC 2.5.2025=3,85€	3859892638726	KOZMETIKA
Biobaza Deo roll on Silky comfort 50ml	20728440	Biobaza	0.055	KOM	       4,05		1	L	  81			MPC 2.5.2025=3,85€	3859892638740	KOZMETIKA
Biobaza Losion za tijelo Purple fr.250ml	20728441	Biobaza	0.262	KOM	       3,99		1	L	15,96			MPC 2.5.2025=3,95€	3856020905699	KOZMETIKA
Biobaza Beauty Gel blagi za čiš.lic200ml	20728496	Biobaza Beauty	0.180	KOM	       4,59		1	L	22,95			MPC 2.5.2025=4,59€	3856020904098	KOZMETIKA
Biobaza Beauty Mlijeko za čišć.lica500ml	20728497	Biobaza Beauty	0.460	KOM	       7,29		1	L	14,58			MPC 2.5.2025=6,59€	3856020904081	KOZMETIKA
Biobaza Beauty Micelarna voda sens.500ml	20728498	Biobaza Beauty	0.510	KOM	       6,48		1	L	12,96			MPC 2.5.2025=6,49€	3856020903596	KOZMETIKA
Biobaza Šampon big hair 250ml	20728499	Biobaza	0.267	KOM	       6,95		1	L	27,8			MPC 2.5.2025=6,59€	3856020909901	KOZMETIKA
Biobaza Deo roll on Green sensation50ml	20728500	Biobaza	0.055	KOM	       4,05		1	L	  81			MPC 2.5.2025=3,85€	3856020901783	KOZMETIKA
Biobaza Gel za inti.njegu Jajoper 100ml	20728501	Biobaza	0.101	KOM	       4,00		1	L				MPC 2.5.2025=3,99€	3856020907006	KOZMETIKA
Biobaza Krema hidratan.One&Only 100ml	20728502	Biobaza	0.097	KOM	       5,29		1	L	52,9			MPC 2.5.2025=5,29€	3856020911614	KOZMETIKA
Biobaza Gel za tuš.i kos.2u1Sportsm220ml	20728503	Biobaza	0.232	KOM	       3,69		1	L	16,77			MPC 2.5.2025=3,29€	3856020913403	KOZMETIKA
Biobaza Beauty Krema hidratantna 50ml	20728604	Biobaza Beauty	0.049	KOM	       9,99		1	L	199,8			MPC 2.5.2025=9,99€	3856020903558	KOZMETIKA
Biobaza Beauty Krema plantfusion 50ml	20728605	Biobaza Beauty	0.049	KOM	       9,99		1	L	199,8			MPC 2.5.2025=9,99€	3856020903572	KOZMETIKA
Biobaza Gel za tuširanje3u1 Botanic400ml	20728606	Biobaza	0.415	KOM	       5,45		1	L	13,63			MPC 2.5.2025=4,99€	3856020908317	KOZMETIKA
Biobaza Gel za tuširanje3u1Flower r400ml	20728607	Biobaza	0.415	KOM	       5,45		1	L	13,63			MPC 2.5.2025=4,99€	3856020908324	KOZMETIKA
Biobaza Gel za tuširanje3u1 Silky c400ml	20728608	Biobaza	0.415	KOM	       5,45		1	L	13,63			MPC 2.5.2025=4,99€	3856020908300	KOZMETIKA
Biobaza Šampon hydra-lumine 250ml	20728609	Biobaza	0.262	KOM	       5,98		1	L	23,92			MPC 2.5.2025=5,99€	3856020904333	KOZMETIKA
Biobaza Šampon hair low poo 250ml	20728610	Biobaza	0.262	KOM	       5,94		1	L	23,76			MPC 2.5.2025=5,95€	3856020901233	KOZMETIKA
Biobaza Šampon repair 250 ml	20728611	Biobaza	0.267	KOM	       5,89		1	L	23,56			MPC 2.5.2025=6,59€	3856020904326	KOZMETIKA
Biobaza Šampon Hair smart 250ml	20728903	Biobaza	0.262	KOM	       5,98		1	L	23,92			MPC 2.5.2025=5,99€	3856020900915	KOZMETIKA
Biobaza Krema za ruke Botanic garden50ml	20728904	Biobaza	0.049	KOM	       2,99		1	L	59,8			MPC 2.5.2025=2,99€	3856020914493	KOZMETIKA
Biobaza Krema za ruke Flower romance50ml	20728905	Biobaza	0.049	KOM	       2,99		1	L	59,8			MPC 2.5.2025=2,99€	3856020914516	KOZMETIKA
Biobaza Krema za ruke Silky comfort 50ml	20728906	Biobaza	0.049	KOM	       2,99		1	L	59,8			MPC 2.5.2025=2,99€	3856020914530	KOZMETIKA
Biobaza Kids Deo roll on Action hero30ml	20728907	Biobaza Kids	0.032	KOM	       2,67		1.000					MPC 2.5.2025=2,49€	3856020903152	KOZMETIKA
Biobaza Kids Deo roll on Magic garde30ml	20728908	Biobaza Kids	0.032	KOM	       2,67		1.000					MPC 2.5.2025=2,49€	3856020903176	KOZMETIKA
Biobaza Losion After shave S.O.S. 125ml	20728909	Biobaza	0.124	KOM	       4,59		1	L	36,72			MPC 2.5.2025=4,59€	3856020902315	KOZMETIKA
Biobaza Gel za tuš.2u1 Black Energy220ml	20728910	Biobaza	0.232	KOM	       3,69		1	L	16,77			MPC 2.5.2025=3,29€	3859892638344	KOZMETIKA
Biobaza Deo Roll-on Black Energy 50ml	20728912	Biobaza	0.051	KOM	       4,05		1	L	  81			MPC 2.5.2025=3,85€	3859892638719	KOZMETIKA
Biobaza Deo Roll-on Gentleman 50ml	20728913	Biobaza	0.051	KOM	       4,05		1	L	  81			MPC 2.5.2025=3,85€	3856020911423	KOZMETIKA
Biobaza Deo Roll-on Sportsmen 50ml	20728914	Biobaza	0.051	KOM	       4,05		1	L	  81			MPC 2.5.2025=3,85€	3856020913410	KOZMETIKA
Biobaza Gel za tuš.i pr.ko2u1 Gent.220ml	20728915	Biobaza	0.232	KOM	       3,69		1	L	16,77			MPC 2.5.2025=3,29€	3856020911089	KOZMETIKA
Nesquik Pahuljice žitne Minis čok.300g	20728999	Nesquik	0.300	KOM	       4,49		1	KG	14,97			MPC 19.5.2025=4,49€	5900020044877	HRANA
Lion Pahuljice žitne Minis čok.300g	20729003	Lion	0.300	KOM	       4,49		1	KG	14,97			MPC 19.5.2025=4,49€	5900020044891	HRANA
Eva Sardine jadra.u biljnom ulju100g/70g	20729270	Eva	0.100	KOM	       1,99		1	KG	28,43			MPC 02.05.2025=1,69€	3856020262525	HRANA
Podravka Đuveč 690g	20729272	Podravka	0.690	KOM	       3,59		1	KG	5,203			MPC 2.5.2025=3,49€	3856020221393	HRANA
Nescafe Kava inst.3u1 Frappe Caramel 15g	20729294	Nescafe	0.015	KOM	       0,35		1.000					MPC 2.5.2025=0,35€	8445291184091	HRANA
Nescafe Kava instant 3u1 Frappe 8x15g	20729295	Nescafe	0.120	KOM	       2,99		1	KG	24,92			MPC 2.5.2025=2,99€	8445291183049	HRANA
Campo DOro Krema pistacio 180g	20729296	Campo D`Oro	0.180	KOM	       9,49		1	KG	52,72			MPC 2.5.2025=7,49€	8003267891048	HRANA
Gourmet Pašteta za mačke piletina85g	20729329	Gourmet	0.085	KOM	       0,89		1	KG	10,47			MPC 2.5.2025=0,89€	8445291132870	PROIZVODI ZA KUĆANSTVO
Gourmet Pašteta za mačke losos85g	20729331	Gourmet	0.085	KOM	       0,89		1	KG	10,47			MPC 2.5.2025=0,89€	8445291133242	PROIZVODI ZA KUĆANSTVO
Mljekara Livno Sir tvrdi kozji 25% DEL	20729333	Mljekara Livno	1	KG	      19,20		1.000					MPC 2.5.2025=17,7€	2800453000000	HRANA
Somat Deter.u gelu za per.Exce.45pr810ml	20729676	Somat	0.980	KOM	      17,99		1	L	22,21			MPC 2.5.2025=17,99€	9000101570939	SREDSTVA ZA ČIŠĆENJE
Nivea Maska za lice Skin detox maram.1/1	20729859	Nivea	0.020	KOM	       3,65		1	KOM	3,65			MPC 2.5.2025=3,65€	9005800374130	KOZMETIKA
Nivea Maska za lice Skin moisture mar1/1	20729888	Nivea	0.020	KOM	       3,65		1	KOM	3,65			MPC 2.5.2025=3,65€	9005800374147	KOZMETIKA
Eva Tuna fileti u biljnom ulju 100g/70g	20729910	Eva	0.100	KOM	       3,69		1	KG	52,71			MPC 2.5.2025=3,49€	3856020263096	HRANA
Eva Tuna salata Balance 160g	20729911	Eva	0.160	KOM	       4,29		1	KG	26,81			MPC 2.5.2025=4,29€	3856020263874	HRANA
Eva Tuna salata Protein 160 g	20729912	Eva	0.160	KOM	       4,29		1	KG	26,81			MPC 2.5.2025=4,29€	3856020263904	HRANA
Persil Deterdže.za pra.Univ.110pr.6,05kg	20729954	Persil	6.050	KOM	      23,99	A	1	KG	3,965	      23,99	18,99	MPC 2.5.2025=23,99€	9000101806083	SREDSTVA ZA ČIŠĆENJE
Afrodita Essence Šampon clean.&hyd.320ml	20729958	Afrodita	0.324	KOM	       6,99		1	L	21,84			MPC 2.5.2025=6,49€	3831070661887	KOZMETIKA
Afrodita Essence Šampon anti ha.lo.320ml	20729959	Afrodita	0.324	KOM	       6,99		1	L	21,84			MPC 2.5.2025=6,49€	3831070661894	KOZMETIKA
Afrodita Essence Šampon repair&glow320ml	20729960	Afrodita	0.324	KOM	       6,99		1	L	21,84			MPC 2.5.2025=6,49€	3831070661900	KOZMETIKA
Afrodita Essence Šampon anti dand. 320ml	20729962	Afrodita	0.324	KOM	       6,99		1	L	21,84			MPC 2.5.2025=6,49€	3831070661917	KOZMETIKA
K-Blue Bay Skuša cca 550g	20730446	K Blue Bay	1	KG	       8,39	A	1.000			       8,39	7,79	MPC 2.5.2025=7,99€	2858842000000	HRANA
Old Spice Dezodorans stick Rockstar50 ml	20730534	Old Spice	0.056	KOM	       3,85		1	L	  77			MPC 2.5.2025=3,85€	8700216203906	KOZMETIKA
Old Spice Dezodor.sprej Rockstar150ml	20730535	Old Spice	0.096	KOM	       3,85		1	L	25,67			MPC 2.5.2025=3,85€	8700216169820	KOZMETIKA
Old Spice Gel za tuš.i šam.Rockstar400ml	20730536	Old Spice	0.412	KOM	       3,85		1	L	9,625			MPC 2.5.2025=3,85€	8700216232746	KOZMETIKA
Finish Tabl.za str.pranje pos.lemon110/1	20730578	Finish	1.830	KOM	      34,99		1	KOM	0,318			MPC 2.5.2025=29,99€	5999109582843	SREDSTVA ZA ČIŠĆENJE
Weißer Riese Kaps.za pr.rublj.Univ.40/1	20730643	Weißer Riese	0.480	KOM	      16,99		1	KOM	0,425			MPC 2.5.2025=16,99€	9000101572872	SREDSTVA ZA ČIŠĆENJE
Weißer Riese Kaps.za pr.rublj.Color40/1	20730654	Weißer Riese	0.480	KOM	      16,99		1	KOM	0,425			MPC 2.5.2025=16,99€	9000101802375	SREDSTVA ZA ČIŠĆENJE
Libresse Ulošci hig.ult.+ x-large 8/1_OC	20730658	Libresse	0.074	KOM	       1,99		1	KOM	0,249			MPC 2.5.2025=1,99€	7322540918281	TOALETNE POTREPŠTINE
Pfanner Piće negaz.bezal.naranč2L TETRA	20730715	Pfanner	2	KOM	       3,99		1	L	1,995			MPC 2.5.2025=4,15€	9006900228743	PIĆE
Gavrilović Kobasica pariška 350g	20730828	Gavrilović	0.350	KOM	       3,75		1	KG	10,71			MPC 2.5.2025=3,75€	3858892724446	HRANA
Gavrilović Kobasica pariška s povrć.350g	20730829	Gavrilović	0.350	KOM	       3,75		1	KG	10,71			MPC 2.5.2025=3,75€	3858892724460	HRANA
Head&Shoulders Šam.i balz.2u1 Clas.250ml	20730873	Head&Shoulders	0.280	KOM	       4,99		1	L	19,96			MPC 2.5.2025=4,99€	8700216157872	KOZMETIKA
Head&Shoulders Šam.i balz.2u1Menth.250ml	20730935	Head&Shoulders	0.280	KOM	       4,99		1	L	19,96			MPC 2.5.2025=4,99€	8700216304658	KOZMETIKA
Pantene Šampon Pro-V Lift&Volume 250ml	20731026	Pantene	0.258	KOM	       4,99		1	L	19,96			MPC 2.5.2025=4,99€	8700216323543	KOZMETIKA
Franc Arman Vino bijelo Sivi Pinot0,75L	20731075	Franc Arman	0.750	KOM	      14,35		1	L	  19			MPC 2.5.2025=14,35€	3859891697038	HRANA
Franc Arman Vino crno vrh.Teran0,75L	20731076	Franc Arman	0.750	KOM	      18,09		1	L	23,99			MPC 2.5.2025=18,09€	3859891697014	PIĆE
Cossetto Vino bijelo vrhu.Malvazija0,75L	20731077	Cossetto	0.750	KOM	      13,89		1	L	18,39			MPC 2.5.2025=13,89€	3859891605002	HRANA
Bols Vodka 37,5% 0,7 L	20731083	Bols	0.750	KOM	      14,89		1	L	21,13			MPC 2.5.2025=17,02€	8716000968906	PIĆE
Lino Njupalice Pašteta od tune 95g	20731191	Lino	0.095	KOM	       1,59		1	KG	16,74			MPC 2.5.2025=1,59€	3856020260460	HRANA
Lino Lada Namaz kikiriki masl.creamy350g	20731192	Lino Lada	0.350	KOM	       4,29		1	KG	12,26			MPC 2.5.2025=4,29€	3856020271077	HRANA
Lino Lada Namaz kikiriki mas.crunchy350g	20731193	Lino Lada	0.350	KOM	       4,29		1	KG	12,26			MPC 2.5.2025=4,29€	3856020271107	HRANA
Lino Njupalice Pašteta pileća 95g	20731358	Lino	0.095	KOM	       1,39		1	KG	14,63			MPC 2.5.2025=1,29€	3856020260439	HRANA
Lino Lada Namaz Gold creamy 700g	20731384	Lino Lada	0.700	KOM	       6,59		1	KG	9,414			MPC 2.5.2025=6,25€	3856020265335	HRANA
Lino Lada Namaz milk 350g	20731385	Lino Lada	0.350	KOM	       3,29	A	1	KG	 9,4	       3,29	3,99	MPC 2.5.2025=3,99€	3850104267109	HRANA
24 Ice Koktel smrznuti mix new 5% 5x65ml	20731556	24 Ice	0.370	KOM	       5,59		1	L	17,2			MPC 2.5.2025=6,99€	8721082201056	PIĆE
Lino Lada Namaz Gold creamy 350g	20731559	Lino Lada	0.350	KOM	       3,29	A	1	KG	 9,4	       3,29	3,99	MPC 2.5.2025=3,99€	3856020265366	HRANA
Adventuros Training za pse losos115g	20731738	Adventuros	0.115	KOM	       2,69		1	KG	23,39			MPC 2.5.2025=2,69€	8445290990785	PROIZVODI ZA KUĆANSTVO
Adventuros Training za pse srna115g	20731739	Adventuros	0.115	KOM	       2,69		1	KG	23,39			MPC 2.5.2025=2,69€	8445290990808	PROIZVODI ZA KUĆANSTVO
Toco Piće negaz.bezal.limun i krast.0,5L	20731785	Toco	0.509	KOM	       1,09		1	L	1,98			MPC 2.5.2025=1,05€	3856028501091	PIĆE
EM.Sitarki Rakija Ouzo 40%alk. 0,7L	20732162	Sitarki	0.700	KOM	       8,02		1	L	11,31			MPC 2.5.2025=8,02€	4063367197154	PIĆE
Old Spice Dezodorans stick Deep Sea85ml	20732367	Old Spice	0.099	KOM	       5,95		1	L				MPC 2.5.2025=5,95€	8006540955871	KOZMETIKA
Dr.Oekter Oblatne u obliku srca 12/1	20732382	Dr.Oekter	0.007	KOM	       4,29		1	KOM	0,358			MPC 23.05.2025=2,99€	4000521038021	HRANA
KBlue. Marin. ražnjići od kozica 100g	20732458	K Blue Bay	0.100	KOM	       3,49		1	KG	34,9			MPC 2.5.2025=3,49€	4260225051485	HRANA
Afrodita Men Fluid hidratantni2u1 50ml	20732463	Afrodita Men	0.052	KOM	      10,49		1	L	209,8			MPC 2.5.2025=9,49€	3831070660378	KOZMETIKA
Afrodita Men Gel za brijanje i čišć150ml	20732464	Afrodita Men	0.157	KOM	       6,99		1	L	46,6			MPC 2.5.2025=6,69€	3831070660385	KOZMETIKA
Afrodita Men Krema Anti-age 50 ml	20732467	Afrodita Men	0.052	KOM	      10,49		1	L	209,8			MPC 2.5.2025=9,99€	3831070660392	KOZMETIKA
Afrodita Essence Balzam & Maska2u1 175ml	20732469	Afrodita	0.153	KOM	       6,99		1	L	39,94			MPC 2.5.2025=6,49€	3831070661924	KOZMETIKA
Afrodita Essence Ružmarinova voda 100 ml	20732470	Afrodita	0.103	KOM	       6,99		1	L	69,9			MPC 2.5.2025=6,49€	3831070661931	KOZMETIKA
Pršut Voštane Buđola Dalma.reza.80g	20732501	Pršut Voštane	0.080	KOM	       2,95		1	KG	36,88			MPC 2.5.2025=2,95€	3858889493256	HRANA
Pršut Voštane Panceta Dalmati.rezana 80g	20732502	Pršut Voštane	0.080	KOM	       2,99		1	KG	37,38			MPC 2.5.2025=2,99€	3858889493218	HRANA
Pršut Voštane Pečenica Dalmat.rezana 80g	20732503	Pršut Voštane	0.080	KOM	       2,99		1	KG	37,38			MPC 2.5.2025=2,99€	3858889493171	HRANA
Staropramen Pivo svijetlo lager5% 6x0,5L	20732515	Staropramen	3	KOM	       7,93		1	L	2,443			MPC 2.5.2025=7,93€	3850131006153	PIĆE
Pršut Voštane Pršut Dalmatin.reza.80g	20732524	Pršut Voštane	0.080	KOM	       3,29		1	KG	41,13			MPC 2.5.2025=3,29€	3858889493096	HRANA
Emsal Sredstvo za čiš.drvenih površ.1L	20732530	Emsal	1	KOM	       4,19		1.000					MPC 2.5.2025=4,19€	4009175964595	SREDSTVA ZA ČIŠĆENJE
Zaini Boule Dor Praline pistacio 144g	20732722	Zaini	0.144	KOM	       4,49		1	KG	31,18			MPC 2.5.2025=4,99€	8004735121124	HRANA
Powerade Piće negaz.bezalk.mango 500ml	20732738	Powerade	0.500	KOM	       1,69		1	L	3,18			MPC 2.5.2025=1,62€	5449000320988	PIĆE
Powerade Piće negaz.bezalk.šumsko 500ml	20732739	Powerade	0.500	KOM	       1,69		1	L	3,18			MPC 2.5.2025=1,62€	54492653	PIĆE
Signal Pasta za zube kids voćni 75ml	20732910	Signal	0.065	KOM	       3,49		1	L	46,53			MPC 2.5.2025=3,49€	8720181501838	KOZMETIKA
Signal Pasta za zube junior menta 75ml	20732911	Signal	0.099	KOM	       3,49		1	L	46,53			MPC 2.5.2025=3,49€	8720181501845	KOZMETIKA
KLC.Sok od naranče 1L TETRA	20733008	K-Classic	1	KOM	       2,49		1.000					MPC 2.5.2025=2,49€	5901088014208	PIĆE
Cirio Rajčica sjeckana luk i češnj.390g	20733165	Cirio	0.390	KOM	       1,29		1	KG	3,308			MPC 24.6.2025=1,29€	8001440121197	HRANA
Villa Sandi Vino pjen.Il fres.Rose0,75L	20733166	Villa Sandi	0.750	KOM	      11,05		1	L	14,6			MPC 2.5.2025=10,45€	8017494420018	PIĆE
Villa Sandi Vino pjen.Millesim.pros0,75L	20733167	Villa Sandi	0.750	KOM	      14,55		1	L	19,27			MPC 2.5.2025=13,79€	8017494480012	PIĆE
